"CEPSA L-D: 06:00-22:00 1,092 e","CEPSA L-D: 06:00-22:00 1,092 e",-3.61885,37.20567,,,,
"CEPSA L-D: 07:00-23:00 1,081 e","CEPSA L-D: 07:00-23:00 1,081 e",-3.63717,37.22928,,,,
"CEPSA L-D: 24H 1,097 e","CEPSA L-D: 24H 1,097 e",-3.33466,37.31583,,,,
"CEPSA L: 07:00-22:00 1,101 e","CEPSA L: 07:00-22:00 1,101 e",-1.84008,37.13857,,,,
"CEPSA L-D: 07:00-22:00 1,100 e","CEPSA L-D: 07:00-22:00 1,100 e",-1.86967,37.16317,,,,
"CEPSA L: 07:00-23:00 1,090 e","CEPSA L: 07:00-23:00 1,090 e",-1.87883,37.29256,,,,
"CEPSA L-D: 24H 1,090 e","CEPSA L-D: 24H 1,090 e",-1.96375,37.31583,,,,
"CEPSA - LOS FILABRES SCA Horario Especial 1,050 e","CEPSA - LOS FILABRES SCA Horario Especial 1,050 e",-2.12871,37.16982,,,,
"CEPSA L-D: 07:00-22:00 1,095 e","CEPSA L-D: 07:00-22:00 1,095 e",-2.29619,37.23111,,,,
"CEPSA L: 06:00-22:00 1,081 e","CEPSA L: 06:00-22:00 1,081 e",-2.03975,37.35439,,,,
"CEPSA L-D: 24H 1,098 e","CEPSA L-D: 24H 1,098 e",-3.95908,37.18517,,,,
"CEPSA L-D: 24H 1,098 e","CEPSA L-D: 24H 1,098 e",-3.95910,37.18549,,,,
"CEPSA L-D: 06:00-22:30 1,097 e","CEPSA L-D: 06:00-22:30 1,097 e",-3.76636,37.25772,,,,
"CEPSA L-D: 06:00-22:00 1,097 e","CEPSA L-D: 06:00-22:00 1,097 e",-3.76703,37.25844,,,,
"CEPSA L-D: 06:00-22:00 1,097 e","CEPSA L-D: 06:00-22:00 1,097 e",-3.87953,37.27875,,,,
"CEPSA L-S: 08:00-22:00 1,100 e","CEPSA L-S: 08:00-22:00 1,100 e",-3.71675,37.19017,,,,
"CEPSA L-D: 06:00-22:00 1,095 e","CEPSA L-D: 06:00-22:00 1,095 e",-3.68428,37.21222,,,,
"CEPSA L: 06:00-22:00 1,095 e","CEPSA L: 06:00-22:00 1,095 e",-3.68428,37.21222,,,,
"CEPSA L-D: 24H 1,105 e","CEPSA L-D: 24H 1,105 e",-5.91119,37.19625,,,,
"CEPSA L-D: 24H 1,103 e","CEPSA L-D: 24H 1,103 e",-5.95261,37.29557,,,,
